framework,metric,n,mean,std,ci95_low,ci95_high,median,iqr
autogen,completion_tokens,8,12.0,0.0,12.0,12.0,12.0,0.0
autogen,cost_usd,8,0.0,0.0,0.0,0.0,0.0,0.0
autogen,latency_seconds,8,0.0018232551249183749,0.004274931765112673,0.00021917752520714414,0.004875511202862934,0.0002473960003044,0.00026194774909525003
autogen,mast_task_successful,8,0.5,0.5345224838248488,0.125,0.875,0.5,1.0
autogen,prompt_tokens,8,29.0,3.295017884191656,27.125,31.375,28.0,3.5
autogen,run_index,8,0.5,0.5345224838248488,0.125,0.875,0.5,1.0
autogen,steps_executed,8,3.0,0.0,3.0,3.0,3.0,0.0
autogen,success,8,1.0,0.0,1.0,1.0,1.0,0.0
autogen,tool_calls,8,0.0,0.0,0.0,0.0,0.0,0.0
autogen,total_tokens,8,41.0,3.295017884191656,39.125,43.375,40.0,3.5
crewai,completion_tokens,8,182.75,80.16188976956926,128.24687500000002,230.25312499999998,207.0,89.5
crewai,cost_usd,8,0.0,0.0,0.0,0.0,0.0,0.0
crewai,latency_seconds,8,15.406592319500078,10.122753832464198,9.756620435568903,22.397623845984285,11.991714818000219,6.491126940999038
crewai,mast_task_successful,8,0.0,0.0,0.0,0.0,0.0,0.0
crewai,prompt_tokens,8,29.5,2.878491668515698,27.875,31.625,28.5,2.5
crewai,run_index,8,0.5,0.5345224838248488,0.125,0.875,0.5,1.0
crewai,steps_executed,8,2.0,0.0,2.0,2.0,2.0,0.0
crewai,success,8,1.0,0.0,1.0,1.0,1.0,0.0
crewai,tool_calls,8,0.0,0.0,0.0,0.0,0.0,0.0
crewai,total_tokens,8,212.25,81.20124911073017,158.12187500000002,259.7718749999999,234.5,91.5
langgraph,completion_tokens,8,155.125,109.61157068745722,80.07812500000009,223.64062499999991,160.0,135.75
langgraph,cost_usd,8,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,latency_seconds,8,1.9753706517501541,1.3488627034408576,1.0383263651253856,2.7626907215314076,2.274608730000182,1.3242623544983876
langgraph,mast_task_successful,8,0.375,0.5175491695067657,0.125,0.75,0.0,1.0
langgraph,prompt_tokens,8,99.0,44.46507457705269,63.25,123.25,122.0,26.0
langgraph,run_index,8,0.5,0.5345224838248488,0.125,0.875,0.5,1.0
langgraph,steps_executed,8,1.0,0.0,1.0,1.0,1.0,0.0
langgraph,success,8,0.75,0.4629100498862757,0.375,1.0,1.0,0.25
langgraph,tool_calls,8,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,total_tokens,8,253.375,147.92559664526334,150.125,339.625,283.0,157.5
