framework,mast_label,absolute_count,percentage_of_runs,n_runs,level
autogen,1. Task Compliance,218,90.83333333333333,240,category
autogen,3. Termination and Verification,135,56.25,240,category
autogen,2. Coordination,34,14.166666666666666,240,category
crewai,1. Task Compliance,31,12.916666666666668,240,category
crewai,3. Termination and Verification,31,12.916666666666668,240,category
crewai,2. Coordination,1,0.4166666666666667,240,category
langgraph,3. Termination and Verification,72,30.0,240,category
langgraph,1. Task Compliance,67,27.916666666666668,240,category
langgraph,2. Coordination,15,6.25,240,category
metagpt,1. Task Compliance,240,100.0,240,category
metagpt,3. Termination and Verification,240,100.0,240,category
metagpt,2. Coordination,179,74.58333333333333,240,category
