framework,mast_label,absolute_count,percentage_of_runs,n_runs,level
autogen,1.3 Step Repetition,179,74.58333333333333,240,mode
autogen,1.5 Unaware of Termination Conditions,112,46.666666666666664,240,mode
autogen,3.2 Weak Verification,68,28.333333333333332,240,mode
autogen,3.3 No or Incorrect Verification,63,26.25,240,mode
autogen,3.1 Premature Termination,62,25.833333333333336,240,mode
autogen,2.2 Fail to Ask for Clarification,33,13.750000000000002,240,mode
autogen,1.1 Disobey Task Specification,20,8.333333333333332,240,mode
autogen,2.3 Task Derailment,2,0.8333333333333334,240,mode
autogen,2.5 Ignored Other Agent's Input,2,0.8333333333333334,240,mode
crewai,1.1 Disobey Task Specification,31,12.916666666666668,240,mode
crewai,1.5 Unaware of Termination Conditions,30,12.5,240,mode
crewai,3.1 Premature Termination,27,11.25,240,mode
crewai,3.3 No or Incorrect Verification,8,3.3333333333333335,240,mode
crewai,3.2 Weak Verification,3,1.25,240,mode
crewai,2.2 Fail to Ask for Clarification,1,0.4166666666666667,240,mode
langgraph,3.1 Premature Termination,72,30.0,240,mode
langgraph,1.5 Unaware of Termination Conditions,66,27.500000000000004,240,mode
langgraph,3.3 No or Incorrect Verification,31,12.916666666666668,240,mode
langgraph,1.1 Disobey Task Specification,26,10.833333333333334,240,mode
langgraph,2.2 Fail to Ask for Clarification,12,5.0,240,mode
langgraph,3.2 Weak Verification,11,4.583333333333333,240,mode
langgraph,2.6 Action-Reasoning Mismatch,5,2.083333333333333,240,mode
