framework,task_id,n,n_success,criteria_success_rate,ci_low,ci_high
autogen,coord-ambiguous-termination-condition,30,30,1.0,1.0,1.0
autogen,coord-clarification-before-execution,30,0,0.0,0.0,0.0
autogen,coord-combined-asymmetry-verification,30,1,0.03333333333333333,0.0,0.1
autogen,coord-conflicting-done-criteria,30,0,0.0,0.0,0.0
autogen,coord-info-asymmetry-constraint,30,29,0.9666666666666667,0.9,1.0
autogen,coord-role-overlap-duplicate-actions,30,6,0.2,0.06666666666666667,0.36666666666666664
autogen,coord-unclear-handoff-incomplete-artifact,30,1,0.03333333333333333,0.0,0.1
autogen,coord-weak-final-verification,30,24,0.8,0.6333333333333333,0.9333333333333333
crewai,coord-ambiguous-termination-condition,30,30,1.0,1.0,1.0
crewai,coord-clarification-before-execution,30,0,0.0,0.0,0.0
crewai,coord-combined-asymmetry-verification,30,0,0.0,0.0,0.0
crewai,coord-conflicting-done-criteria,30,0,0.0,0.0,0.0
crewai,coord-info-asymmetry-constraint,30,30,1.0,1.0,1.0
crewai,coord-role-overlap-duplicate-actions,30,7,0.23333333333333334,0.1,0.4
crewai,coord-unclear-handoff-incomplete-artifact,30,3,0.1,0.0,0.23333333333333334
crewai,coord-weak-final-verification,30,30,1.0,1.0,1.0
langgraph,coord-ambiguous-termination-condition,30,30,1.0,1.0,1.0
langgraph,coord-clarification-before-execution,30,0,0.0,0.0,0.0
langgraph,coord-combined-asymmetry-verification,30,0,0.0,0.0,0.0
langgraph,coord-conflicting-done-criteria,30,0,0.0,0.0,0.0
langgraph,coord-info-asymmetry-constraint,30,30,1.0,1.0,1.0
langgraph,coord-role-overlap-duplicate-actions,30,0,0.0,0.0,0.0
langgraph,coord-unclear-handoff-incomplete-artifact,30,1,0.03333333333333333,0.0,0.1
langgraph,coord-weak-final-verification,30,30,1.0,1.0,1.0
