framework,task_id,n,n_success,success_rate,ci_low,ci_high
autogen,coord-ambiguous-termination-condition,30,30,1.0,1.0,1.0
autogen,coord-clarification-before-execution,30,25,0.8333333333333334,0.7,0.9666666666666667
autogen,coord-combined-asymmetry-verification,30,1,0.03333333333333333,0.0,0.1
autogen,coord-conflicting-done-criteria,30,30,1.0,1.0,1.0
autogen,coord-info-asymmetry-constraint,30,29,0.9666666666666667,0.9,1.0
autogen,coord-role-overlap-duplicate-actions,30,30,1.0,1.0,1.0
autogen,coord-unclear-handoff-incomplete-artifact,30,10,0.3333333333333333,0.16666666666666666,0.5
autogen,coord-weak-final-verification,30,25,0.8333333333333334,0.7,0.9666666666666667
crewai,coord-ambiguous-termination-condition,30,30,1.0,1.0,1.0
crewai,coord-clarification-before-execution,30,30,1.0,1.0,1.0
crewai,coord-combined-asymmetry-verification,30,30,1.0,1.0,1.0
crewai,coord-conflicting-done-criteria,30,30,1.0,1.0,1.0
crewai,coord-info-asymmetry-constraint,30,30,1.0,1.0,1.0
crewai,coord-role-overlap-duplicate-actions,30,30,1.0,1.0,1.0
crewai,coord-unclear-handoff-incomplete-artifact,30,30,1.0,1.0,1.0
crewai,coord-weak-final-verification,30,30,1.0,1.0,1.0
langgraph,coord-ambiguous-termination-condition,30,0,0.0,0.0,0.0
langgraph,coord-clarification-before-execution,30,0,0.0,0.0,0.0
langgraph,coord-combined-asymmetry-verification,30,12,0.4,0.23333333333333334,0.5666666666666667
langgraph,coord-conflicting-done-criteria,30,30,1.0,1.0,1.0
langgraph,coord-info-asymmetry-constraint,30,13,0.43333333333333335,0.26666666666666666,0.6
langgraph,coord-role-overlap-duplicate-actions,30,13,0.43333333333333335,0.26666666666666666,0.6
langgraph,coord-unclear-handoff-incomplete-artifact,30,30,1.0,1.0,1.0
langgraph,coord-weak-final-verification,30,29,0.9666666666666667,0.9,1.0
