framework,metric,n,mean,std,ci95_low,ci95_high,median,iqr
langgraph,completion_tokens,2,21.0,7.0710678118654755,16.0,26.0,21.0,5.0
langgraph,cost_usd,2,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,latency_seconds,2,0.00286137499915635,0.001146573646698008,0.0020506249984464,0.0036721249998663,0.00286137499915635,0.0008107500007099502
langgraph,mast_task_successful,2,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,prompt_tokens,2,35.0,11.313708498984761,27.0,43.0,35.0,8.0
langgraph,run_index,2,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,steps_executed,2,1.0,0.0,1.0,1.0,1.0,0.0
langgraph,success,2,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,tool_calls,2,0.0,0.0,0.0,0.0,0.0,0.0
langgraph,total_tokens,2,52.5,17.67766952966369,40.0,65.0,52.5,12.5
