framework_condition,mast_label,absolute_count,percentage_of_runs,n_runs,level
autogen | none,3. Termination and Verification,240,100.0,240,category
autogen | none,1. Task Compliance,30,12.5,240,category
autogen | reflection_independent_verification,3. Termination and Verification,240,100.0,240,category
autogen | reflection_independent_verification,1. Task Compliance,30,12.5,240,category
autogen | structured_output_validation,3. Termination and Verification,240,100.0,240,category
autogen | structured_output_validation,1. Task Compliance,30,12.5,240,category
autogen | supervisor_orchestrator,3. Termination and Verification,240,100.0,240,category
autogen | supervisor_orchestrator,1. Task Compliance,30,12.5,240,category
crewai | none,3. Termination and Verification,240,100.0,240,category
crewai | none,1. Task Compliance,30,12.5,240,category
crewai | reflection_independent_verification,3. Termination and Verification,240,100.0,240,category
crewai | reflection_independent_verification,1. Task Compliance,30,12.5,240,category
crewai | structured_output_validation,3. Termination and Verification,240,100.0,240,category
crewai | structured_output_validation,1. Task Compliance,31,12.916666666666668,240,category
crewai | supervisor_orchestrator,3. Termination and Verification,240,100.0,240,category
crewai | supervisor_orchestrator,1. Task Compliance,30,12.5,240,category
langgraph | none,3. Termination and Verification,108,45.0,240,category
langgraph | none,1. Task Compliance,30,12.5,240,category
langgraph | reflection_independent_verification,3. Termination and Verification,240,100.0,240,category
langgraph | reflection_independent_verification,1. Task Compliance,30,12.5,240,category
langgraph | structured_output_validation,3. Termination and Verification,240,100.0,240,category
langgraph | structured_output_validation,1. Task Compliance,30,12.5,240,category
langgraph | supervisor_orchestrator,3. Termination and Verification,137,57.08333333333333,240,category
langgraph | supervisor_orchestrator,1. Task Compliance,30,12.5,240,category
