framework_condition,n,success_rate_mean,success_rate_std,success_rate_ci_low,success_rate_ci_high,latency_seconds_mean,latency_seconds_std,latency_seconds_ci_low,latency_seconds_ci_high,token_cost_usd_mean,token_cost_usd_std,token_cost_usd_ci_low,token_cost_usd_ci_high
autogen | none,240,0.8666666666666667,0.3406450522228455,0.823350568208514,0.9099827651248193,121.56417602373283,59.35167313942253,114.01707413398783,129.1112779134778,0.0,0.0,0.0,0.0
autogen | reflection_independent_verification,240,0.925,0.2639417965509199,0.8914374140413405,0.9585625859586596,119.88288893851932,40.65510067352992,114.71322528977595,125.05255258726268,0.0,0.0,0.0,0.0
autogen | structured_output_validation,240,0.7666666666666667,0.42383649909338605,0.7127720235327408,0.8205613098005926,121.01376846722438,63.850200771799415,112.89463811392406,129.1328988205247,0.0,0.0,0.0,0.0
autogen | supervisor_orchestrator,240,0.925,0.2639417965509199,0.8914374140413405,0.9585625859586596,101.79540898509124,60.32441650305593,94.12461398124198,109.4662039889405,0.0,0.0,0.0,0.0
crewai | none,240,1.0,0.0,1.0,1.0,12.519545391103748,6.246761152334393,11.725213228186947,13.313877554020548,0.0,0.0,0.0,0.0
crewai | reflection_independent_verification,240,1.0,0.0,1.0,1.0,49.68891719134966,58.57586651098049,42.24046612915316,57.13736825354616,0.0,0.0,0.0,0.0
crewai | structured_output_validation,240,1.0,0.0,1.0,1.0,64.81374151842805,61.36050939577118,57.01119793505358,72.61628510180252,0.0,0.0,0.0,0.0
crewai | supervisor_orchestrator,240,1.0,0.0,1.0,1.0,18.827747774173865,32.632996705938574,14.67816717972481,22.97732836862292,0.0,0.0,0.0,0.0
langgraph | none,240,0.5708333333333333,0.4959916036091409,0.5077635162432095,0.6339031504234571,2.6562979741009864,1.5180004269928051,2.4632704942474914,2.8493254539544814,0.0,0.0,0.0,0.0
langgraph | reflection_independent_verification,240,0.6541666666666667,0.47663321219562726,0.5935584440808148,0.7147748892525185,4.843530164205974,2.0416077609184,4.583921277454795,5.103139050957152,0.0,0.0,0.0,0.0
langgraph | structured_output_validation,240,0.7416666666666667,0.4386329721303318,0.6858905181983188,0.7974428151350146,4.209049108473604,1.1269281649426972,4.065750002764035,4.352348214183173,0.0,0.0,0.0,0.0
langgraph | supervisor_orchestrator,240,0.5958333333333333,0.4917556003060433,0.5333021623645863,0.6583645043020804,4.021092805850155,1.9243379009758692,3.7763958421294084,4.265789769570902,0.0,0.0,0.0,0.0
