framework_condition,n,success_rate_mean,success_rate_std,success_rate_ci_low,success_rate_ci_high,latency_seconds_mean,latency_seconds_std,latency_seconds_ci_low,latency_seconds_ci_high,token_cost_usd_mean,token_cost_usd_std,token_cost_usd_ci_low,token_cost_usd_ci_high
autogen | none,1,1.0,0.0,1.0,1.0,144.58544027397875,0.0,144.58544027397875,144.58544027397875,0.0,0.0,0.0,0.0
autogen | reflection_independent_verification,1,1.0,0.0,1.0,1.0,148.3093479409581,0.0,148.3093479409581,148.3093479409581,0.0,0.0,0.0,0.0
autogen | structured_output_validation,1,0.0,0.0,0.0,0.0,200.76547300699167,0.0,200.76547300699167,200.76547300699167,0.0,0.0,0.0,0.0
autogen | supervisor_orchestrator,1,0.0,0.0,0.0,0.0,0.0008594999671913,0.0,0.0008594999671913,0.0008594999671913,0.0,0.0,0.0,0.0
crewai | none,1,1.0,0.0,1.0,1.0,21.801479760033544,0.0,21.801479760033544,21.801479760033544,0.0,0.0,0.0,0.0
crewai | reflection_independent_verification,1,1.0,0.0,1.0,1.0,48.68401102296775,0.0,48.68401102296775,48.68401102296775,0.0,0.0,0.0,0.0
crewai | structured_output_validation,1,1.0,0.0,1.0,1.0,51.45772039802978,0.0,51.45772039802978,51.45772039802978,0.0,0.0,0.0,0.0
crewai | supervisor_orchestrator,1,1.0,0.0,1.0,1.0,46.36007677100133,0.0,46.36007677100133,46.36007677100133,0.0,0.0,0.0,0.0
langgraph | none,1,0.0,0.0,0.0,0.0,6.819612294028048,0.0,6.819612294028048,6.819612294028048,0.0,0.0,0.0,0.0
langgraph | reflection_independent_verification,1,1.0,0.0,1.0,1.0,7.193936377996579,0.0,7.193936377996579,7.193936377996579,0.0,0.0,0.0,0.0
langgraph | structured_output_validation,1,1.0,0.0,1.0,1.0,5.051350002002437,0.0,5.051350002002437,5.051350002002437,0.0,0.0,0.0,0.0
langgraph | supervisor_orchestrator,1,0.0,0.0,0.0,0.0,8.949445004051086,0.0,8.949445004051086,8.949445004051086,0.0,0.0,0.0,0.0
